1969,1,1,F,4046
1969,1,1,M,4440
1969,1,2,F,4454
1969,1,2,M,4548
1969,1,3,F,4548
1969,1,3,M,4994
1969,1,4,F,4440
1969,1,4,M,4520
1969,1,5,F,4192
1969,1,5,M,4198
1969,1,6,F,4710
1969,1,6,M,4850
1969,1,7,F,4646
1969,1,7,M,5092
1969,1,8,F,4800
1969,1,8,M,4934
1969,1,9,F,4592
1969,1,9,M,4842
1969,1,10,F,4852
1969,1,10,M,5190
1969,1,11,F,4580
1969,1,11,M,4598
1969,1,12,F,4126
1969,1,12,M,4324
1969,1,13,F,4758
1969,1,13,M,5076
1969,1,14,F,5070
1969,1,14,M,5296
1969,1,15,F,4798
1969,1,15,M,5096
1969,1,16,F,4790
1969,1,16,M,4872
1969,1,17,F,4944
1969,1,17,M,5030
1969,1,18,F,4670
1969,1,18,M,4642
1969,1,19,F,4170
1969,1,19,M,4452
1969,1,20,F,4884
1969,1,20,M,4924
1969,1,21,F,5042
1969,1,21,M,5432
1969,1,22,F,4796
1969,1,22,M,5088
1969,1,23,F,4794
1969,1,23,M,4660
1969,1,24,F,4752
1969,1,24,M,5046
1969,1,25,F,4348
1969,1,25,M,4674
1969,1,26,F,4230
1969,1,26,M,4338
1969,1,27,F,4864
1969,1,27,M,5046
1969,1,28,F,4860
1969,1,28,M,5172
1969,1,29,F,4500
1969,1,29,M,4880
1969,1,30,F,4668
1969,1,30,M,5006
1969,1,31,F,4780
1969,1,31,M,4912
1969,2,1,F,4394
1969,2,1,M,4736
1969,2,2,F,4334
1969,2,2,M,4480
